CountyFIPS,CountyName,x_coor,y_coor,COPD_AdjPrev,pm25_2019_annual_mean,CSMOKING_AdjPrev,OBESITY_AdjPrev
1113,Russell,-85.18445744,32.28842421,8.3,9.40457776522994,21.7,38.5
2020,Anchorage,-149.1141071,61.1504589,5.0,7.999717046571987,15.3,30.7
2110,Juneau,-134.1828501,58.45102839,4.8,6.810408904816637,15.1,27.5
2170,Matanuska-Susitna,-149.5702635,62.3154278,6.1,5.993296706587221,19.8,32.0
4003,Cochise,-109.751401,31.87949959,6.1,5.145985221607577,17.6,33.9
4012,La Paz,-113.9813104,33.72903482,7.9,3.299713341121925,19.5,37.0
4013,Maricopa,-112.4911577,33.34873471,5.6,6.955045205347376,14.3,31.0
4019,Pima,-111.7899304,32.09739367,5.5,3.468743947557647,14.3,30.8
4021,Pinal,-111.3447295,32.90442817,6.2,8.291612498674105,17.4,34.6
4023,Santa Cruz,-110.8465934,31.52596855,5.6,8.866806976906615,14.5,37.1
4027,Yuma,-113.9054902,32.76937366,6.4,7.977566733445232,15.1,38.4
6001,Alameda,-121.8893196,37.64555147,3.8,7.372020142925669,10.0,23.5
6009,Calaveras,-120.55399,38.20431662,5.8,5.56710156303324,15.0,30.1
6011,Colusa,-122.237555,39.17712713,5.4,6.225707146950957,13.5,32.3
6013,Contra Costa,-121.927827,37.91916061,4.1,7.356773763525755,10.0,23.9
6019,Fresno,-119.6510577,36.75819212,5.6,8.408316555620939,14.3,37.6
6027,Inyo,-117.4115268,36.51151321,5.4,4.8467550431089,13.6,28.0
6029,Kern,-118.730066,35.34295136,6.1,5.3578600393212,15.1,35.5
6031,Kings,-119.8154673,36.07536089,5.7,12.039916539979224,14.3,35.3
6037,Los Angeles,-118.2246916,34.32114132,4.3,10.0697033253348,10.9,27.8
6039,Madera,-119.7627487,37.2182163,6.1,9.7430243689829,14.1,32.7
6041,Marin,-122.7238042,38.07388193,3.9,6.380631560563457,9.5,22.5
6045,Mendocino,-123.3914133,39.44035366,6.2,5.719700279469376,14.8,30.8
6047,Merced,-120.7175557,37.19191313,5.9,9.205372784327263,14.4,34.6
6051,Mono,-118.8875478,37.93923386,5.3,5.679469943828083,12.9,29.0
6053,Monterey,-121.2393212,36.21636989,5.2,4.484200007250852,12.0,32.1
6055,Napa,-122.3314634,38.50726702,4.4,5.942962713949105,10.8,28.6
6057,Nevada,-120.7686055,39.30115247,5.2,6.317263119090938,12.4,25.1
6059,Orange,-117.7607477,33.70297627,4.1,9.107763765021954,10.4,24.5
6061,Placer,-120.7171226,39.06343593,4.4,7.208818808003591,11.0,24.6
6065,Riverside,-115.9938549,33.74363564,5.1,7.933226008057807,12.5,33.4
6067,Sacramento,-121.3448359,38.44874079,5.2,5.387895570086519,13.3,27.8
6069,San Benito,-121.0755542,36.60399254,4.5,4.961028009340431,11.7,30.1
6071,San Bernardino,-116.1786779,34.84178102,5.1,11.478014114864568,13.2,33.3
6073,San Diego,-116.7353793,33.03401356,4.6,13.324038270372096,11.0,24.1
6075,San Francisco,-122.4393922,37.75999356,3.6,7.735766049881471,9.3,16.4
6077,San Joaquin,-121.2718065,37.93484195,5.3,9.049559288042923,13.9,31.9
6079,San Luis Obispo,-120.4048434,35.38726285,5.0,5.668786265843388,11.9,26.2
6081,San Mateo,-122.3273639,37.42322968,3.5,7.073482352509618,9.2,20.6
6083,Santa Barbara,-120.0166318,34.67363399,4.9,5.363562842764385,11.7,27.3
6085,Santa Clara,-121.6961445,37.23263642,3.5,7.4584265340181295,8.7,21.3
6087,Santa Cruz,-122.0010073,37.05611958,4.8,5.710325451017273,11.4,29.3
6093,Siskiyou,-122.5390516,41.59425182,6.6,5.852247351295513,15.6,31.3
6095,Solano,-121.9320733,38.27061842,4.6,8.753378444114743,11.9,30.7
6097,Sonoma,-122.8876375,38.52854399,4.7,5.708435496881465,11.4,27.1
6099,Stanislaus,-120.997954,37.55913651,5.7,9.318677963721145,14.2,30.8
6103,Tehama,-122.2337288,40.12516798,7.2,5.452103865961044,16.6,35.1
6111,Ventura,-119.0835707,34.45676389,4.4,6.482636565254847,10.6,27.5
8001,Adams,-104.3380626,39.87402122,4.7,8.965783153475854,15.0,30.9
8013,Boulder,-105.3580726,40.09251514,4.0,7.440066708756568,11.1,19.9
