FIPS,county_name,gdp_per_capita
06105,"Trinity, CA",36297
06107,"Tulare, CA",47655
06109,"Tuolumne, CA",53583
06111,"Ventura, CA",74454
06113,"Yolo, CA",63771
06115,"Yuba, CA",48993
08001,"Adams, CO*",56627
08003,"Alamosa, CO",44214
08005,"Arapahoe, CO",77807
08007,"Archuleta, CO",55736
08009,"Baca, CO",57845
08011,"Bent, CO",34240
08013,"Boulder, CO*",95621
08014,"Broomfield, CO*",86027
08015,"Chaffee, CO",62995
08017,"Cheyenne, CO",79152
08019,"Clear Creek, CO",75208
08021,"Conejos, CO",45708
08023,"Costilla, CO",40635
08025,"Crowley, CO",24277
08027,"Custer, CO",52322
08029,"Delta, CO",48405
08031,"Denver, CO",114859
08033,"Dolores, CO",40128
08035,"Douglas, CO",97519
08037,"Eagle, CO",117417
08039,"Elbert, CO",73744
08041,"El Paso, CO",61728
08043,"Fremont, CO",42329
08045,"Garfield, CO",66724
08047,"Gilpin, CO",66533
08049,"Grand, CO",70055
08051,"Gunnison, CO",66080
08053,"Hinsdale, CO",63492
08055,"Huerfano, CO",47028
08057,"Jackson, CO",66508
08059,"Jefferson, CO*",81739
08061,"Kiowa, CO",69737
08063,"Kit Carson, CO",51618
08065,"Lake, CO",51619
08067,"La Plata, CO",71921
08069,"Larimer, CO",67835
08071,"Las Animas, CO",46096
08073,"Lincoln, CO",40298
08075,"Logan, CO",52525
08077,"Mesa, CO",55383
08079,"Mineral, CO",72207
08081,"Moffat, CO",49516
08083,"Montezuma, CO",51204
08085,"Montrose, CO",53080
08087,"Morgan, CO",52782
08089,"Otero, CO",42773
08091,"Ouray, CO",83637
08093,"Park, CO",59018
08095,"Phillips, CO",56653
08097,"Pitkin, CO",232863
08099,"Prowers, CO",46702
08101,"Pueblo, CO",46998
08103,"Rio Blanco, CO",59467
08105,"Rio Grande, CO",56802
08107,"Routt, CO",121611
08109,"Saguache, CO",41567
08111,"San Juan, CO",51912
08113,"San Miguel, CO",145426
08115,"Sedgwick, CO",56764
08117,"Summit, CO",97275
08119,"Teller, CO",62998
08121,"Washington, CO",53531
08123,"Weld, CO*",59174
08125,"Yuma, CO",52744
09001,"Fairfield, CT*",131179
09003,"Hartford, CT*",72127
09005,"Litchfield, CT*",77320
09007,"Middlesex, CT*",76651
09009,"New Haven, CT*",65169
09011,"New London, CT*",66678
09013,"Tolland, CT*",64631
09015,"Windham, CT*",54507
10001,"Kent, DE",50951
10003,"New Castle, DE",67241
10005,"Sussex, DE",66534
11001,"District of Columbia, DC",100849
12001,"Alachua, FL",52636
12003,"Baker, FL",44679
12005,"Bay, FL",53918
12007,"Bradford, FL",41670
12009,"Brevard, FL",57115
12011,"Broward, FL",66842
12013,"Calhoun, FL",35877
12015,"Charlotte, FL",52648
12017,"Citrus, FL",45430
12019,"Clay, FL",54056
12021,"Collier, FL",130209
12023,"Columbia, FL",43291
12027,"DeSoto, FL",33279
12029,"Dixie, FL",34433
12031,"Duval, FL",56760
12033,"Escambia, FL",53262
12035,"Flagler, FL",60063
12037,"Franklin, FL",44263
12039,"Gadsden, FL",44905
12041,"Gilchrist, FL",42446
12043,"Glades, FL",31586
12045,"Gulf, FL",48906
12047,"Hamilton, FL",35264
12049,"Hardee, FL",34966
12051,"Hendry, FL",39708
12053,"Hernando, FL",46514
12055,"Highlands, FL",41681
12057,"Hillsborough, FL",60141
12059,"Holmes, FL",39445
12061,"Indian River, FL",101417
12063,"Jackson, FL",39117
12065,"Jefferson, FL",48728
12067,"Lafayette, FL",34511
12069,"Lake, FL",52476
12071,"Lee, FL",62774
12073,"Leon, FL",53733
12075,"Levy, FL",44643
12077,"Liberty, FL",32898
12079,"Madison, FL",43118
12081,"Manatee, FL",61327
12083,"Marion, FL",44949
12085,"Martin, FL",109583
12086,"Miami-Dade, FL",70861
12087,"Monroe, FL",122924
12089,"Nassau, FL",76177
12091,"Okaloosa, FL",59933
12093,"Okeechobee, FL",40424
12095,"Orange, FL",56663
12097,"Osceola, FL",44733
12099,"Palm Beach, FL",112099
12101,"Pasco, FL",53252
12103,"Pinellas, FL",68284
12105,"Polk, FL",43504
12107,"Putnam, FL",40213
12109,"St. Johns, FL",85185
12111,"St. Lucie, FL",51592
12113,"Santa Rosa, FL",56805
12115,"Sarasota, FL",81707
12117,"Seminole, FL",59676
12119,"Sumter, FL",67581
12121,"Suwannee, FL",41731
12123,"Taylor, FL",36487
12125,"Union, FL",27059
12127,"Volusia, FL",53041
12129,"Wakulla, FL",48546
12131,"Walton, FL",86744
12133,"Washington, FL",36294
13001,"Appling, GA",44085
