county_name,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_fastfood_per_1000_pop_2020,beta_poverty_rate_2021,beta_pct_non_hispanic_black_2020,beta_median_household_income_2021,beta_rucc_2023,se_Intercept,se_fastfood_per_1000_pop_2020,se_poverty_rate_2021,se_pct_non_hispanic_black_2020,se_median_household_income_2021,se_rucc_2023,t_Intercept,t_fastfood_per_1000_pop_2020,t_poverty_rate_2021,t_pct_non_hispanic_black_2020,t_median_household_income_2021,t_rucc_2023,p_Intercept,p_fastfood_per_1000_pop_2020,p_poverty_rate_2021,p_pct_non_hispanic_black_2020,p_median_household_income_2021,p_rucc_2023,sumW_Intercept,sumW_fastfood_per_1000_pop_2020,sumW_poverty_rate_2021,sumW_pct_non_hispanic_black_2020,sumW_median_household_income_2021,sumW_rucc_2023
Long,1339641.4290747042,1064848.7001306915,-0.09004648717998144,-0.16518299978924056,0.2196484980711897,-0.3096949852511711,0.6409647151698228,0.04949017634284836,-0.1451582896851257,0.12887600165630608,0.08126693531100639,-0.3999046411553994,0.12538005643047329,0.06662411515997319,0.10101491593467275,0.132465597616573,0.16654849443649827,0.11565920456797926,0.07098233827020148,0.742826771117575,-1.4369985693895035,0.9729016739073857,0.48794758299056196,-3.457611892189294,1.7663556806652574,0.4588311809467315,0.15294951818188196,0.3322801386808989,0.6263502767649716,0.0007221574658104746,0.07951565066688124,58.92940323994924,19.30965483291532,70.3018931365925,22.88108685584023,73.78679847757775,70.3018931365925
Jeff Davis,1255608.9907243056,1058599.283763316,0.5384958243238458,0.26903425645456536,0.33996598992280047,0.19852983440104532,0.5859837890043953,0.05308839441137481,-0.022139007192740014,0.11422026847387401,0.4268863405580445,-0.38996994016930475,0.11282286097035574,0.06520952660211993,0.10782675119117203,0.13301784932475802,0.1884797185190273,0.11480936812716075,0.07014505019328615,0.8141202241092322,-0.2053201728529179,0.8586837710404531,2.2648927105382413,-3.3966735165494613,1.6084222715568666,0.4169586630386557,0.8376202194980389,0.39198280182936496,0.025054904913595355,0.0008881482032503734,0.1099955298267717,65.79775465749276,14.24338863704781,77.7174408404652,17.239908051470724,81.1668531982117,77.7174408404652
Lumpkin,1089086.0092804322,1347813.907708341,-1.8248232669305444,-1.014507256437555,-0.9254188879667729,-0.8994043789637716,0.6517488201131105,-0.07214645690676172,-0.16599223505450683,0.05166948984937304,0.4513182447574954,-0.39171761994788334,0.05233894959723659,0.07065887750214753,0.13809177734551623,0.138547723760622,0.10476408105704345,0.11249474448159735,0.06995846247411788,-1.0210529724954798,-1.2020428605186355,0.37293640376687687,4.307948298728026,-3.4820970682053787,0.7481432230818411,0.3089905009658349,0.2313761964702634,0.7097598085999153,3.0832252469957706e-05,0.0006640554656049374,0.45562870629610697,68.8071864867845,16.384333147488995,73.76759648871618,20.189925611397893,78.9861318596069,73.76759648871618
Camden,1360370.1824060427,975492.6230884419,-0.09004648717998144,0.5403931963813661,-0.41583765134454276,0.32579116416456133,0.6110687914676388,0.05315837389192948,-0.15526217302098488,0.12705910916359636,0.10460395358857771,-0.39521833740180196,0.12518711361682314,0.06657812568717415,0.1039575852718813,0.13207245620925032,0.19162006570989085,0.11627318330904195,0.07136455901533328,0.7984360229920094,-1.4935146157437784,0.9620409342754177,0.545892483655371,-3.3990497735952836,1.7541916512077882,0.42596985306679414,0.1375528569499848,0.3376877233899933,0.5860086451684122,0.0008810555607503268,0.08158573125709208,55.647781433956304,15.874565576858881,65.5084351038969,18.700073629938956,68.53381833010758,65.5084351038969
Terrell,1087776.788412403,1033206.9716565105,1.468738445349511,0.07693495934976968,1.346967661157208,0.12177078419230303,0.6505465340814998,0.03377621856055529,-0.04494281072387108,0.06612437551704785,0.4338849860221268,-0.3530767660198929,0.07004518626623257,0.07043285584322384,0.10153836560502855,0.13634814210603852,0.12797861289652707,0.11449562523644807,0.07142353860782737,0.479552023784718,-0.4426190086483463,0.4849671913066674,3.3902929263105106,-3.083757700704672,0.9807017074698153,0.6322942587649754,0.658724425884448,0.6284575871889508,0.0009074585274038295,0.002462984603636913,0.3284315658588729,51.36455338029714,15.303753688152458,61.93193389246796,17.828850777086437,62.54920056129856,61.93193389246796
Gilmer,1046577.4890182472,1355897.507702044,-1.0454308006657982,-0.39570243670337335,-0.642690181716797,-0.40274061894900115,0.6311252555217408,-0.06999120657168516,-0.17401129045147226,0.04735821688483223,0.3570582130203769,-0.3894277453945626,0.04886870305297725,0.07065452893064916,0.13215011312246958,0.13864853292588436,0.10147727476396982,0.11250275017161962,0.06995363752126106,-0.9906117503151838,-1.3167698940235337,0.3415702704200118,3.5186027004654323,-3.4614953394517207,0.6985870182679856,0.32358421700330564,0.19006718506222,0.7331864597298643,0.0005855313115266573,0.0007126342934964385,0.4859689889885186,67.68783288957263,17.265108158108085,72.38777100516074,20.02223535018082,77.38835496239705,72.38777100516074
Elbert,1201005.0015131282,1311272.0644463666,0.010520282660630572,-0.44889699989971316,0.4078304826591231,-0.3973101999984925,0.7489934079248082,-0.0704345724499493,-0.12297956058706132,0.07444743356566488,0.4787382560479685,-0.3994798372951878,0.07214283198665637,0.07079250943745821,0.11946694136683628,0.13776153850819675,0.10259485006393121,0.11267557390362072,0.06965040374240816,-0.9949438578974922,-1.0294024370259816,0.5404079714254592,4.666299095418984,-3.545398735993045,1.03578483555481,0.3214801079675961,0.30506577012344743,0.5897743943776325,7.096214090725989e-06,0.0005335460717821937,0.3020883161915739,61.369501403545726,16.642371191500043,70.59209258778282,18.27800616386734,74.62516080000648,70.59209258778282
Upson,1085500.9280147809,1156923.881300866,0.21165382234185637,-0.07487887160935713,0.30114352460230515,-0.08948970226044878,0.7531726366555231,-0.01568274163963491,-0.06511692643740744,0.0516130439419875,0.6168028482336707,-0.373732774060426,0.054684676914717546,0.07309554107139822,0.09270987393142968,0.13845452957372634,0.11104584073838022,0.11241417382873563,0.06965902429212725,-0.21455127644949412,-0.7023731526759425,0.37277974292999794,5.554488525930789,-3.324605441924187,0.7850336330492921,0.8304293814182867,0.4836126441654859,0.7098761504447297,1.3562439012524767e-07,0.001130458215804907,0.4337602911984988,52.264811929728324,17.04912786123313,71.50581476254729,18.932686649292602,73.22891918925939,71.50581476254729
Pickens,1048779.7584324328,1330556.0240454422,-0.8945806459048793,0.29930723034791673,-1.0615137860102482,0.16693314010536886,0.6381175579177196,-0.06829860822431821,-0.26754633206796896,0.04745766554681543,0.35262178260081645,-0.3885572621562379,0.049183114822215906,0.07061978534581129,0.13383224261573262,0.13861800130225077,0.09915645734578932,0.11246552540611075,0.06972074577697059,-0.9671313483873291,-1.9991171547215605,0.3423629333922942,3.5562160250553823,-3.4549010530397246,0.7054301309333032,0.33514611788847104,0.0475314695878668,0.7325912240615506,0.000513818020474365,0.0007288757921028329,0.4817146799553411,69.69206877969994,15.348230157828208,75.24546850042265,19.74119889472748,79.79355792252832,75.24546850042265
Jones,1151580.6932784468,1181530.0775592146,0.28707889972231493,0.4913730432602591,-0.22429927840872116,0.511378178131036,0.7723443669535208,-0.015137293123016503,-0.06199309760582079,0.06726816370179944,0.6287943793344264,-0.3850329564277374,0.06600296503710457,0.07152560831798986,0.10797961014750342,0.13857485435108963,0.11140209978835278,0.11259135863636607,0.07062126592881578,-0.21163459464362536,-0.5741185536893154,0.4854283557922463,5.644367391001077,-3.419738078401471,0.9346046713978998,0.8326998958882695,0.5668088468872873,0.6281313162720134,8.880787854965293e-08,0.0008215093754681086,0.3516012881319548,56.49920591694506,14.366295966328812,65.7190049157085,16.619703837501497,69.69859914730968,65.7190049157085
