variable,sig_count,sig_share,positive_sig_count,negative_sig_count,beta_mean,beta_min,beta_max
Intercept,0,0.0,0,0,-0.008720049236386803,-0.0769080363477357,0.0554638107726863
fastfood_per_1000_pop_2020,22,0.15602836879432624,0,22,-0.1556410077180517,-0.7053699392786983,0.1288700501272152
poverty_rate_2021,0,0.0,0,0,0.07829011383194509,0.0419001619085351,0.1363661621336024
pct_non_hispanic_black_2020,108,0.7659574468085106,108,0,0.41306994383176476,0.0006739975649396,0.6875381393744899
median_household_income_2021,141,1.0,0,141,-0.38536958277954575,-0.409944081829709,-0.3473439175545879
rucc_2023,0,0.0,0,0,0.07846736443801049,0.0448256296327526,0.1310594751258301
